,buy_x,buy_y,sell_x,sell_y,hr,buy_spread,sell_spread,buy_investment,sell_investment,buyZScore,sellZScore,long_entry,long_exit,num_units_long,short_entry,short_exit,num_units_short,numUnits,transaction,positionSwitch,tradecosts,hr_memory,invest_memory,buy_spread_memory,sell_spread_memory,buy_spread_pct_ch,sell_spread_pct_ch,port_rets,cum rets
2018-10-05 14:00:00,53.082857142857144,52.89414643571428,53.05214285714286,52.86332351428572,0.997,0.0011600071428544214,-0.06028505714285615,105.7871328642857,105.7869320857143,,,False,False,0.0,False,False,0.0,0.0,True,False,0.0063,,,,,,,0.0,1.0
2018-10-05 14:10:00,53.112,52.959939545,53.0785,52.92723430000001,0.9970000000000001,0.04067504499999899,-0.025429699999998688,105.87920404500001,105.8798983,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-05 14:20:00,53.07900000000001,52.96313029,53.05500000000001,52.936314725,0.9970000000000001,0.06729528999999701,0.016551725000000773,105.85896528999999,105.856077725,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-05 14:30:00,53.165699999999994,53.06640453999999,53.145500000000006,53.044157949999985,0.9970000000000001,0.08034103999999828,0.03795504999999864,106.05246803999998,106.05036085000002,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-05 14:40:00,53.187,53.116786024999996,53.162929999999996,53.09256370000001,0.9970000000000001,0.11334481500000208,0.06512469999999766,106.12022723499999,106.12000270000001,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-05 14:50:00,53.2325,53.133772665,53.205,53.09975145999999,0.9970000000000001,0.08838766500000261,0.02694896000000142,106.179157665,106.17255396,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-05 15:00:00,53.186,53.07500797,53.157,53.044909940000004,0.9970000000000001,0.07747896999999995,0.018467939999997896,106.07253696999999,106.07135194,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-08 13:40:00,53.06,52.868085275,53.0225,52.83220924999999,0.997,0.0046527750000002754,-0.06861075000000483,105.73151777500001,105.73302924999999,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-08 13:50:00,53.03149,52.80333755,53.00150000000001,52.772036289999996,0.9970000000000001,-0.03915794999999704,-0.10035923999999952,105.64583305000001,105.64443182,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-08 14:00:00,53.021989999999995,52.75746239499999,53.0025,52.737258114999996,0.9970000000000001,-0.08603010499999826,-0.12566591500000257,105.600954895,105.600182145,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-08 14:10:00,53.0591,52.808006775,53.0345,52.784519875,0.9970000000000001,-0.06738972500000102,-0.11540282500000316,105.683403275,105.684442575,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-08 14:20:00,53.071640000000016,52.82464085,53.05631999999999,52.79984518,0.9970000000000001,-0.07251019000000128,-0.11257990000000148,105.72179189,105.71227026000001,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-08 14:30:00,53.00833333333334,52.74560916666667,52.990144444444454,52.72313885,0.9970000000000001,-0.08556484444444361,-0.12616948333333353,105.57678317777777,105.57244718333332,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-08 14:40:00,52.95146999999999,52.70154729000001,52.94199999999999,52.682626855,0.9965000000000002,-0.05516370999999722,-0.08352026499999851,105.45825829,105.448773975,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-08 14:50:00,52.93076666666667,52.69270986111111,52.91888888888889,52.673131161111115,0.9960000000000002,-0.014503472222221111,-0.045912438888888595,105.39992319444444,105.39217476111111,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-08 15:00:00,52.92249999999999,52.68403768333334,52.90666666666667,52.662280641666676,0.9960000000000001,-0.01100231666666692,-0.048529358333331864,105.37907768333334,105.37309064166668,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-09 13:40:00,52.974000000000004,52.76261481999999,52.95,52.733894580000005,0.9960000000000001,0.02441481999999695,-0.028209419999997466,105.50081481999999,105.49599857999999,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-09 13:50:00,52.96732000000001,52.79519194000001,52.9505,52.77756328,0.9960000000000002,0.05649394000000285,0.022112559999999348,105.53388994,105.53301400000001,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-09 14:00:00,53.02900000000001,52.914115295,53.010000000000005,52.88732692999999,0.9960000000000002,0.1161552950000015,0.07044292999999868,105.712075295,105.70421093000002,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
2018-10-09 14:10:00,53.00750000000001,52.91960249499999,52.99000000000001,52.899343824999995,0.9960000000000002,0.14156249499999873,0.10387382500000157,105.69764249500001,105.69481382500001,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,,,0.0,1.0
