,buy_x,buy_y,sell_x,sell_y,hr,buy_spread,sell_spread,buy_investment,sell_investment,buyZScore,sellZScore,long_entry,long_exit,num_units_long,short_entry,short_exit,num_units_short,numUnits,transaction,positionSwitch,tradecosts,hr_memory,invest_memory,buy_spread_memory,sell_spread_memory,buy_spread_memory_pos_switch,sell_spread_memory_pos_switch,buy_spread_pct_ch,sell_spread_pct_ch,long_holding_ret,short_holding_ret,spread_cost_ret,transaction_cost_ret,port_rets,cum rets
2018-07-25 13:40:00,16.503022883333333,105.71500000000002,16.5010742,105.17666666666668,5.988666666666667,6.895566974266671,6.3455636260111135,204.53443302573336,204.00776970732224,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,5.988666666666667,204.53443302573336,6.895566974266671,6.3455636260111135,,,,,0.0,0.0,0.0,0.0,1.0,1.0
2018-07-25 13:45:00,16.5285859,106.01249999999999,16.521277474999998,105.5175,6.018000000000001,6.587452155449995,6.0484700537999885,205.43754784454998,204.9865299462,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,6.018000000000001,205.43754784454998,6.587452155449995,6.0484700537999885,7.072076294716666,6.533308573533333,-0.0014997979777767797,-0.0014461503037211537,0.0,0.0,0.0,0.0,1.0,1.0
2018-07-25 13:50:00,16.53755125,105.595,16.532874040000003,105.446,6.0196000000000005,6.073711428815969,5.896556495499993,205.11628857118404,204.9954435045,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,6.0196000000000005,205.11628857118404,6.073711428815969,5.896556495499993,6.100164027279973,5.923016577499993,-0.002504631544440881,-0.000740621621803939,0.0,0.0,0.0,0.0,1.0,1.0
2018-07-25 14:00:00,16.542977675000003,105.24000000000001,16.5400529,105.03,6.0065,5.892172256150019,5.664604595112479,204.58782774385,204.39539540488752,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,6.0065,204.58782774385,5.892172256150019,5.664604595112479,5.6754975631600075,5.44789158756997,-0.0008873410244779679,-0.001133752202882397,0.0,0.0,0.0,0.0,1.0,1.0
2018-07-25 14:05:00,16.55062765,105.03999999999999,16.54623915,104.99,5.99175,5.899071572987481,5.822776778112498,204.1809284270125,204.15722322188748,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,5.99175,204.1809284270125,5.899071572987481,5.822776778112498,5.655014545524978,5.578655020275008,3.3790211899874255e-05,0.0007746667831249485,0.0,0.0,0.0,0.0,1.0,1.0
2018-07-25 14:10:00,16.55358933,105.026,16.54890752,104.917,5.9828,6.017196089343997,5.880185756475996,204.034803910656,203.953814243524,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,5.9828,204.034803910656,6.017196089343997,5.880185756475996,5.869083367040005,5.732031131972505,0.0005789429748869788,0.0002813685570459638,0.0,0.0,0.0,0.0,1.0,1.0
2018-07-25 14:15:00,16.560258750000003,104.89500000000001,16.555868437500003,104.79467500000001,5.9745,5.981964020156241,5.855409098124994,203.8080359798438,203.73394090187503,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,5.9745,203.8080359798438,5.981964020156241,5.855409098124994,5.844550312124994,5.717958950499991,-0.0001728688911522652,-0.00012156860367101405,0.0,0.0,0.0,0.0,1.0,1.0
2018-07-25 14:20:00,16.554405,104.92,16.554405,104.855,5.974,6.023984530000007,5.958984530000009,203.81601547,203.75101547,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,5.974,203.81601547,6.023984530000007,5.958984530000009,6.01570732750001,5.950707327500012,0.00020616883195791514,0.0005081810260894855,0.0,0.0,0.0,0.0,1.0,1.0
2018-07-25 14:25:00,16.562663399999998,104.945,16.5568088,104.905,5.9735,6.042902633200001,5.967930180100012,203.84709736679997,203.8420698199,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,5.9735,203.84709736679997,6.042902633200001,5.967930180100012,6.0346242287999985,5.959648848400008,9.280535972485618e-05,4.388411812362591e-05,0.0,0.0,0.0,0.0,1.0,1.0
2018-07-25 14:30:00,16.55912715,104.93,16.5532738,104.93,5.975,6.024189045000014,5.989215278750024,203.835810955,203.87078472125,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,5.975,203.835810955,6.024189045000014,5.989215278750024,6.049018955700021,6.014053969475029,-9.180716632818655e-05,0.0001044227633519731,0.0,0.0,0.0,0.0,1.0,1.0
2018-07-25 14:35:00,16.538620975,104.907425,16.516672075,104.86749999999999,5.97975,6.141855159518755,5.970681224743743,203.67299484048124,203.76431877525624,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,5.97975,203.67299484048124,6.141855159518755,5.970681224743743,6.2203093518750165,6.049239674374988,0.0005777207459972702,-9.099907437801026e-05,0.0,0.0,0.0,0.0,1.0,1.0
2018-07-25 14:40:00,16.528724676666666,105.01666666666667,16.504145216666668,104.96333333333332,5.989666666666667,6.162338200572208,5.961782094992202,203.87099513276112,203.96488457167445,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,5.989666666666667,203.87099513276112,6.162338200572208,5.961782094992202,6.32600430730416,6.125691948035822,0.00010047059926358861,-4.365078880272049e-05,0.0,0.0,0.0,0.0,1.0,1.0
2018-07-25 14:45:00,16.5147156,105.2025,16.510324225,105.14,6.0,6.140554649999999,6.051706400000015,204.26444535000002,204.22829359999997,,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,6.0,204.26444535000002,6.140554649999999,6.051706400000015,6.311161333658319,6.2223584612000025,-0.00010664386812342162,0.0004402347400876864,0.0,0.0,0.0,0.0,1.0,1.0
