,y,x,hr,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,transaction,positionSwitch,tradecosts,hr_memory,invest_memory,spreadmemory,spread pct ch,port rets,cum rets
2018-10-04 13:40:00,53.405470019999996,53.56,-0.969,1.5058300199999977,,False,False,0.0,False,False,0.0,0.0,True,False,0.0063,,,,,0.0,1.0
2018-10-04 13:45:00,53.37698723999999,53.501999999999995,-0.977,1.1055332399999998,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-04 13:50:00,53.3445524,53.42960000000001,-0.979,1.0369739999999936,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-04 13:55:00,53.31902626,53.399,-0.979,1.0414052600000048,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-04 14:00:00,53.28720716,53.404999999999994,-0.98,0.9503071600000084,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-04 14:05:00,53.24448959,53.3848,-0.98,0.9273855900000001,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-04 14:10:00,53.199963849999996,53.363000000000014,-0.979,0.9575868499999842,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-04 14:15:00,53.16155328,53.324,-0.979,0.9573572800000036,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-04 14:20:00,53.11576264,53.26800000000001,-0.979,0.9663906399999931,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-04 14:25:00,53.08123565000001,53.267999999999994,-0.979,0.9318636500000181,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-04 14:30:00,53.10926164999999,53.277,-0.979,0.9510786499999924,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-04 14:35:00,53.15696226,53.295,-0.979,0.9811572599999963,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-04 14:40:00,53.19889429,53.318020000000004,-0.979,1.0005527099999938,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-04 14:45:00,53.19320475000001,53.32000000000001,-0.979,0.9929247500000002,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-04 14:50:00,53.15939324,53.286,-0.979,0.9923992399999975,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-04 14:55:00,53.150747509999995,53.29200000000001,-0.979,0.9778795099999869,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-04 15:00:00,53.163824,53.27,-0.979,1.0124939999999967,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-05 13:40:00,52.83010179,53.15,-0.979,0.7962517899999995,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-05 13:45:00,52.870332870000006,53.172000000000004,-0.978,0.8681168700000015,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-05 13:50:00,52.89988129000001,53.15599999999999,-0.977,0.9664692900000205,,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-05 13:55:00,52.829231300000004,53.056,-0.977,0.9935193000000098,-0.21743076361621252,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-05 14:00:00,52.883828730000005,53.061,-0.977,1.0432317300000093,0.36254816843715043,False,True,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-05 14:05:00,52.928921560000006,53.096000000000004,-0.978,1.0010335600000033,1.3065450060459372,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-05 14:10:00,52.95694568999998,53.098,-0.978,1.0271016899999879,0.6305211599365881,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-05 14:15:00,52.92572402999999,53.044000000000004,-0.979,0.995648029999991,1.1239188133175266,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-05 14:20:00,52.978302129999996,53.089800000000004,-0.979,1.0033879299999953,0.5132239019308487,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-05 14:25:00,53.029888959999994,53.138,-0.979,1.0077869599999971,0.5865312234271007,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-05 14:30:00,53.08590882000001,53.18398,-0.98,0.9656084200000095,0.6149869216330816,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-05 14:35:00,53.134575889999994,53.194,-0.98,1.0044558899999885,-0.1454701706016544,False,False,0.0,False,True,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-05 14:40:00,53.08066737,53.1573,-0.98,0.9865133700000044,0.5115524574711926,False,True,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-05 14:45:00,53.113748580000006,53.21600000000001,-0.98,0.9620685800000004,0.14681094164660588,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-05 14:50:00,53.11584846000001,53.220000000000006,-0.98,0.9602484600000025,-0.3056522043606708,False,False,0.0,False,True,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-05 14:55:00,53.05276206,53.166,-0.98,0.9500820599999997,-0.3188080648502329,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-08 13:40:00,52.85829905,53.05,-0.98,0.8692990500000022,-0.45645101243597896,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-08 13:45:00,52.81826622,53.029999999999994,-0.979,0.9018962200000047,-1.6640474310663285,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-08 13:50:00,52.75580418,53.001999999999995,-0.979,0.8668461800000031,-1.0192743483346869,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-08 13:55:00,52.74700397,53.01712,-0.978,0.8962606100000059,-1.4146684890384087,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-08 14:00:00,52.747064220000006,53.00599999999999,-0.977,0.9602022200000135,-0.8722301170038678,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-08 14:05:00,52.79037282,53.037,-0.977,0.9732238200000012,-0.023854612287164293,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-08 14:10:00,52.79823801,53.065,-0.977,0.9537330100000005,0.13149202066848695,False,True,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-08 14:15:00,52.84163634,53.088,-0.977,0.9746603399999998,-0.25067616451029257,False,False,0.0,False,True,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-08 14:20:00,52.78285006,53.03700000000001,-0.977,0.9657010599999865,0.19382857812391843,False,True,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-08 14:25:00,52.74591635,53.013,-0.977,0.952215350000003,0.09714949961424002,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-08 14:30:00,52.7174999625,52.984125,-0.977,0.9520098375000003,-0.14909059479613415,False,False,0.0,False,True,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-08 14:35:00,52.697349970000005,52.962,-0.977,0.9534759699999995,-0.07430627968396873,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-08 14:40:00,52.68095215000001,52.9294,-0.977,0.968928350000013,0.012191969579838277,False,True,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-08 14:45:00,52.6996867375,52.934225000000005,-0.977,0.9829489124999995,0.45520956704465715,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-08 14:50:00,52.664938819999996,52.916,-0.977,0.9660068199999969,0.8834355149103674,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-08 14:55:00,52.67314620999999,52.915,-0.977,0.9751912099999913,0.42828246555170923,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-08 15:00:00,52.68627735,52.92,-0.977,0.9834373499999955,0.7482462448851515,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-09 13:40:00,52.745645460000006,52.959999999999994,-0.977,1.0037254600000125,0.9890209248036977,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-09 13:45:00,52.79235100000001,52.98264,-0.978,0.9753290800000087,1.422352076277109,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-09 13:50:00,52.77061114000001,52.927260000000004,-0.978,1.0077508600000016,0.6372150271243612,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-09 13:55:00,52.84365799,52.973,-0.978,1.0360639900000024,1.3461004719622076,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-09 14:00:00,52.959741959999995,53.068,-0.979,1.0061699600000011,1.9080643902046945,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
2018-10-09 14:05:00,52.90643533,53.001999999999995,-0.979,1.0174773300000055,1.041072192754182,False,False,0.0,False,False,0.0,0.0,False,False,0.0,,,,,0.0,1.0
